브랜드명,SKU수,총리뷰수,리뷰per_SKU,평균가격
하우키즈풀,120,661,5.51,29088
에이블팩토리,38,580,15.26,8441
오즈키즈,405,284,0.7,31036
아띠빠스,39,183,4.69,27674
이키,17,94,5.53,31224
메리메리,512,91,0.18,36740
금동이한복,79,80,1.01,46001
꼬까한복,90,61,0.68,72390
베네통키즈,19,57,3.0,22947
스토,9,41,4.56,10922
더멜로우가드너,66,38,0.58,53080
휠라키즈,458,33,0.07,47936
아띠래빗,1,31,31.0,20900
폴프랜즈,1,30,30.0,11600
베이비블리,134,28,0.21,27626
베베곰,12,21,1.75,13400
드제코,87,21,0.24,36025
페피,25,21,0.84,64920
하랑한복,174,15,0.09,58044
소다몬,4,15,3.75,56475
예가한복,67,15,0.22,53019
타미힐피거 키즈,480,14,0.03,62616
꼴레지앙,209,13,0.06,29010
미미앤룰라,114,13,0.11,33914
써니라이프,91,12,0.13,70866
유니엘,137,10,0.07,36650
아카시아봉봉,1,7,7.0,6900
마이리틀스타,24,6,0.25,47008
네이티브,9,5,0.56,63900
더예한복,72,4,0.06,54025
올포홈,3,3,1.0,16900
화이트샌즈,8,3,0.38,33138
푸키포키,1,2,2.0,10900
유니온스카웃,19,2,0.11,51216
세컨스킨,3,2,0.67,47526
루나스토리,6,1,0.17,40233
솔트워터,5,1,0.2,88900
로나머레이,10,0,0.0,133150
디어소피,13,0,0.0,87320
아가드,2,0,0.0,23850
아웃도어 프로덕츠,3,0,0.0,17233
빈폴키즈,3,0,0.0,84700
스마포크,7,0,0.0,77429
테바,3,0,0.0,94050
해피버스데이키즈,19,0,0.0,84726
헬시온나이츠,9,0,0.0,88013
헤지스 키즈,32,0,0.0,122162
